Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,BWH,BWD,BWA,,,,,,,,,,,
D2,10/12/04,Cottbus,Karlsruhe,4,1,H,1.9,3.25,3.6,,,,,,,,,,,
D2,10/12/04,Greuther Furth,Aachen,3,2,H,2.05,3.2,3.2,,,,,,,,,,,
D2,12/12/04,Ahlen,Munich 1860,1,0,H,2.3,3.25,2.7,,,,,,,,,,,
D2,12/12/04,Duisburg,FC Koln,1,0,H,2.3,3.1,2.8,,,,,,,,,,,
D2,12/12/04,Ein Trier,Saarbrucken,2,1,H,2.1,3.2,3.1,,,,,,,,,,,
D2,12/12/04,Erfurt,Dresden,1,1,D,2,3.3,3.25,,,,,,,,,,,
D2,12/12/04,Erzgebirge Aue,Oberhausen,2,0,H,1.85,3.3,3.7,,,,,,,,,,,
D2,12/12/04,Unterhaching,Essen,4,0,H,1.85,3.3,3.7,,,,,,,,,,,
D2,22/01/05,Burghausen,Karlsruhe,1,1,D,1.85,3.3,3.7,,,,,,,,,,,
D2,22/01/05,Ein Trier,Oberhausen,2,2,D,1.85,3.3,3.7,,,,,,,,,,,
D2,22/01/05,Erzgebirge Aue,Essen,1,1,D,1.7,3.4,4.4,,,,,,,,,,,
D2,23/01/05,Ahlen,Greuther Furth,2,4,A,2.4,3.2,2.6,,,,,,,,,,,
D2,23/01/05,Cottbus,FC Koln,3,5,A,2.7,3.25,2.3,,,,,,,,,,,
D2,23/01/05,Duisburg,Dresden,4,2,H,1.35,4.2,7.5,,,,,,,,,,,
D2,23/01/05,Erfurt,Saarbrucken,0,1,A,2.1,3.2,3.1,,,,,,,,,,,
D2,23/01/05,Unterhaching,Munich 1860,1,1,D,2.4,3.2,2.6,,,,,,,,,,,
D2,24/01/05,Ein Frankfurt,Aachen,1,0,H,1.95,3.25,3.4,,,,,,,,,,,
D2,28/01/05,Essen,Ein Trier,2,2,D,1.9,3.3,3.55,,,,,,,,,,,
D2,28/01/05,FC Koln,Burghausen,8,1,H,1.4,4.2,6.3,,,,,,,,,,,
D2,28/01/05,Munich 1860,Erzgebirge Aue,1,0,H,1.65,3.5,4.5,,,,,,,,,,,
D2,30/01/05,Aachen,Ahlen,0,2,A,1.5,3.8,5.5,,,,,,,,,,,
D2,30/01/05,Greuther Furth,Unterhaching,3,1,H,1.5,3.8,5.5,,,,,,,,,,,
D2,30/01/05,Karlsruhe,Ein Frankfurt,3,0,H,2.5,3.2,2.5,,,,,,,,,,,
D2,30/01/05,Oberhausen,Erfurt,4,3,H,1.6,3.6,4.8,,,,,,,,,,,
D2,30/01/05,Saarbrucken,Duisburg,4,1,H,2.5,3.2,2.5,,,,,,,,,,,
D2,31/01/05,Dresden,Cottbus,0,1,A,2,3.25,3.3,,,,,,,,,,,
D2,04/02/05,Cottbus,Saarbrucken,1,1,D,2.1,3.2,3.1,,,,,,,,,,,
D2,04/02/05,Duisburg,Oberhausen,4,1,H,1.4,4,6.8,,,,,,,,,,,
D2,04/02/05,Ein Frankfurt,FC Koln,1,0,H,2.5,3.2,2.5,,,,,,,,,,,
D2,06/02/05,Ein Trier,Munich 1860,2,2,D,2.4,3.2,2.6,,,,,,,,,,,
D2,06/02/05,Erfurt,Essen,1,1,D,1.9,3.25,3.6,,,,,,,,,,,
D2,06/02/05,Erzgebirge Aue,Greuther Furth,2,1,H,2.5,3.2,2.5,,,,,,,,,,,
D2,06/02/05,Karlsruhe,Aachen,0,1,A,2.5,3.2,2.5,,,,,,,,,,,
D2,06/02/05,Unterhaching,Ahlen,2,1,H,1.9,3.25,3.6,,,,,,,,,,,
D2,07/02/05,Burghausen,Dresden,2,1,H,1.75,3.4,4.1,,,,,,,,,,,
D2,11/02/05,Aachen,Unterhaching,2,3,A,1.55,3.6,5.3,,,,,,,,,,,
D2,11/02/05,Dresden,Ein Frankfurt,2,1,H,2.75,3.2,2.3,,,,,,,,,,,
D2,11/02/05,Oberhausen,Cottbus,0,1,A,1.95,3.25,3.4,,,,,,,,,,,
D2,13/02/05,Ahlen,Erzgebirge Aue,1,2,A,1.8,3.4,3.8,,,,,,,,,,,
D2,13/02/05,Essen,Duisburg,1,0,H,2.9,3.2,2.2,,,,,,,,,,,
D2,13/02/05,Greuther Furth,Ein Trier,3,3,D,1.5,3.8,5.5,,,,,,,,,,,
D2,13/02/05,Munich 1860,Erfurt,3,1,H,1.5,3.8,5.5,,,,,,,,,,,
D2,13/02/05,Saarbrucken,Burghausen,2,4,A,1.8,3.4,3.8,,,,,,,,,,,
D2,14/02/05,FC Koln,Karlsruhe,2,2,D,1.35,4.2,7.5,,,,,,,,,,,
D2,18/02/05,Cottbus,Essen,0,0,D,1.75,3.4,4.1,,,,,,,,,,,
D2,18/02/05,Ein Trier,Ahlen,2,0,H,1.95,3.25,3.4,,,,,,,,,,,
D2,18/02/05,Karlsruhe,Dresden,1,1,D,1.8,3.4,3.8,,,,,,,,,,,
D2,20/02/05,Burghausen,Oberhausen,2,2,D,1.85,3.3,3.7,,,,,,,,,,,
D2,20/02/05,Ein Frankfurt,Saarbrucken,3,0,H,1.7,3.4,4.4,,,,,,,,,,,
D2,20/02/05,Erfurt,Greuther Furth,1,2,A,2.8,3.3,2.2,,,,,,,,,,,
D2,20/02/05,Erzgebirge Aue,Unterhaching,1,0,H,1.8,3.4,3.8,,,,,,,,,,,
D2,20/02/05,FC Koln,Aachen,1,0,H,1.65,3.5,4.5,,,,,,,,,,,
D2,21/02/05,Duisburg,Munich 1860,0,1,A,1.65,3.5,4.5,,,,,,,,,,,
D2,25/02/05,Essen,Burghausen,1,2,A,2.05,3.2,3.2,,,,,,,,,,,
D2,25/02/05,Munich 1860,Cottbus,1,0,H,1.6,3.6,4.8,,,,,,,,,,,
D2,27/02/05,Aachen,Erzgebirge Aue,1,5,A,1.65,3.5,4.5,,,,,,,,,,,
D2,27/02/05,Ahlen,Erfurt,2,3,A,1.7,3.4,4.4,,,,,,,,,,,
D2,27/02/05,Oberhausen,Ein Frankfurt,0,3,A,2.5,3.2,2.5,,,,,,,,,,,
D2,27/02/05,Unterhaching,Ein Trier,1,0,H,1.9,3.25,3.6,,,,,,,,,,,
D2,28/02/05,Greuther Furth,Duisburg,1,3,A,2.1,3.2,3.1,,,,,,,,,,,
D2,04/03/05,Burghausen,Munich 1860,0,3,A,2.65,3.25,2.35,,,,,,,,,,,
D2,04/03/05,Dresden,Aachen,2,0,H,2.5,3.2,2.5,,,,,,,,,,,
D2,04/03/05,Duisburg,Ahlen,1,0,H,1.45,3.9,6,,,,,,,,,,,
D2,06/03/05,Cottbus,Greuther Furth,2,0,H,2.5,3.2,2.5,,,,,,,,,,,
D2,06/03/05,Ein Frankfurt,Essen,1,0,H,1.45,3.9,6,,,,,,,,,,,
D2,06/03/05,Ein Trier,Erzgebirge Aue,1,0,H,2.05,3.25,3.15,,,,,,,,,,,
D2,07/03/05,FC Koln,Saarbrucken,3,1,H,1.45,3.9,6,,,,,,,,,,,
D2,11/03/05,Erzgebirge Aue,Erfurt,3,2,H,1.6,3.6,4.8,,,,,,,,,,,
D2,11/03/05,Oberhausen,FC Koln,0,3,A,3.8,3.4,1.8,,,,,,,,,,,
D2,11/03/05,Saarbrucken,Dresden,0,1,A,1.7,3.5,4.2,,,,,,,,,,,
